Merge,Target,Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
100,100,13.186,11.025,13.158,0,0,0.032,2.294252936,1.294858911,3.332432176,2.73720674,2.429219178,2.592280378,0.383247581,0.195373688,0.188661355,388,197,191
150,100,18.904,18.561,17.919,0,0,0.018,5.504975648,5.833456383,5.175630318,4.195503118,4.369124594,3.960150595,0.381799858,0.194630836,0.187961937,388,197,191
200,100,19.476,19.147,18.381,0,0,0.018,5.468774791,5.755686669,5.178561507,4.278100238,4.483014285,4.022743811,0.381258007,0.194621126,0.187645521,388,197,191
250,100,19.503,19.185,18.622,0,0,0.018,5.517139519,5.828440017,5.204828415,4.305660359,4.490193693,4.065182374,0.380455096,0.194530229,0.187274003,388,197,191
300,100,19.393,19.048,18.501,0,0,0.018,5.618361512,5.893628535,5.344071356,4.333479953,4.478065048,4.142499625,0.379778664,0.194648278,0.186908141,388,197,191
100,150,19.123,15.142,19.123,0,0,0.094,4.518674423,2.408617662,6.70703107,4.422756795,3.644021498,3.950886142,0.382335992,0.194812548,0.188209284,388,197,191
150,150,13.2,11.025,13.172,0,0,0.032,2.294975449,1.295617886,3.333116668,2.738603926,2.430711694,2.593630239,0.382305212,0.194891453,0.188197344,388,197,191
200,150,14.187,11.994,14.187,0,0,0.019,2.478332297,1.477873591,3.518728394,3.102908135,2.774060436,2.932933001,0.381746944,0.195011972,0.187885667,388,197,191
250,150,15.517,13.246,15.507,0,0,0.027,2.584713398,1.594954839,3.614040754,3.273022331,3.020974216,3.09963993,0.380613983,0.194833669,0.187326903,388,197,191
300,150,12.71,10.627,12.664,0,0,0.022,2.102068124,1.091671052,3.149828895,2.600617932,2.232623666,2.472990603,0.379832355,0.194766897,0.186936875,388,197,191
100,200,19.293,14.554,19.293,0,0,0.065,4.55972738,2.433730546,6.763678827,4.435286142,3.663707246,3.94342755,0.381672799,0.194313954,0.187996462,388,197,191
150,200,12.619,10.225,12.619,0,0,0.019,2.042396046,1.040348451,3.07767247,2.5210512,2.16290527,2.383156138,0.381932748,0.194405203,0.188165389,388,197,191
200,200,13.177,11.017,13.149,0,0,0.032,2.303460587,1.315578758,3.329793,2.742802894,2.4571253,2.585357913,0.381367466,0.194411593,0.18773561,388,197,191
250,200,14.135,11.958,14.135,0,0,0.019,2.472619049,1.488231687,3.496837145,3.086366166,2.772067405,2.918102296,0.380811938,0.194531522,0.187425463,388,197,191
300,200,15.942,13.585,15.932,0,0,0.027,2.674734598,1.707327812,3.681138153,3.348422431,3.122924697,3.181298459,0.37970357,0.194363493,0.186879521,388,197,191
100,250,18.807,14.324,18.807,0,0,0.046,4.506229162,2.388709732,6.703204541,4.438398096,3.616791018,3.98926395,0.381080569,0.193728802,0.188107579,388,197,191
150,250,14.502,12.258,14.476,0,0,0.021,2.506334849,1.531129142,3.522005729,3.069547611,2.797427423,2.916108297,0.381370509,0.193900883,0.188160927,388,197,191
200,250,12.608,10.132,12.608,0,0,0.019,2.023310014,1.000287698,3.080344876,2.501937339,2.116818427,2.36828594,0.380996828,0.193927732,0.187703811,388,197,191
250,250,13.2,11.025,13.172,0,0,0.032,2.294975449,1.295617886,3.333116668,2.738603926,2.430711694,2.593630239,0.380434309,0.193934089,0.187276137,388,197,191
300,250,14.135,11.958,14.135,0,0,0.019,2.468839485,1.471769861,3.505616444,3.08721583,2.766417398,2.913485544,0.379881501,0.194053434,0.186967509,388,197,191
100,300,18.647,14.144,18.647,0,0,0.018,4.473495197,2.349427357,6.675205679,4.364063104,3.499796939,3.916610894,0.380612094,0.193410165,0.18804596,388,197,191
150,300,13.195,11.161,13.195,0,0,0.018,2.438317729,1.472975853,3.4444412,2.828372683,2.496895785,2.67828138,0.380634278,0.193418157,0.18808592,388,197,191
200,300,14.468,12.224,14.442,0,0,0.021,2.503818188,1.519911092,3.528631944,3.070253163,2.789745581,2.913794876,0.380437339,0.193425884,0.187699369,388,197,191
250,300,12.608,10.132,12.608,0,0,0.019,2.023340863,0.999577316,3.081034196,2.501958695,2.11643651,2.36780645,0.380065485,0.1934526,0.187244493,388,197,191
300,300,13.2,11.028,13.172,0,0,0.032,2.294878511,1.295633928,3.332916668,2.738599912,2.430878489,2.593531329,0.379505708,0.193458926,0.186818907,388,197,191
